我在时间尽头等你,"[' 爱情 ', ' 奇幻 ', ' 喜剧 ']",2020-08-25中国大陆上映
我和我的家乡,"[' 剧情 ', ' 喜剧 ']",2020-10-01 08:00中国大陆上映
花木兰,"[' 剧情 ', ' 冒险 ']",2020-09-11中国大陆上映
我的女友是机器人,"[' 爱情 ', ' 喜剧 ']",2020-09-11中国大陆上映
夺冠,[' 剧情 '],2020-09-25中国大陆上映
信条,"[' 科幻 ', ' 动作 ', ' 剧情 ']",2020-09-04中国大陆上映
急先锋,"[' 动作 ', ' 冒险 ', ' 喜剧 ']",2020-09-30中国大陆上映
哪吒之魔童降世,"[' 动画 ', ' 喜剧 ', ' 奇幻 ']",2019-07-26中国大陆上映
姜子牙,"[' 动画 ', ' 动作 ', ' 冒险 ']",2020-10-01中国大陆上映
八佰,"[' 剧情 ', ' 战争 ', ' 历史 ']",2020-08-21 09:00中国大陆上映
